#x I
0.2 21.5
0.3 20.0
0.4 17.0
0.5 16.0
0.6 14.0
0.7 12.5
0.8 10.5
0.9 9.5
1.0 8.0
1.1 7.5
1.5 7.0
1.7 6.2
2.2 5.0
2.7 3.3
3.2 2.5
3.5 2.4
3.7 2.4
4.0 2.5
4.7 3.0
5.0 4.2
5.4 4.9
5.9 6.0
6.5 7.0
6.7 7.4
6.9 7.5
7.2 7.7
7.5 7.8
7.8 7.4
8.1 7.1
8.3 6.8
8.6 6.2
9.0 5.4
9.5 4.4
9.8 3.8
10.2 3.2
10.6 2.8
11.1 2.7
11.6 3.0
12.0 3.2
12.3 3.6
12.8 4.2
13.0 4.6
13.3 5.0
13.7 5.4
14.0 5.6
14.3 5.8
14.8 6.0
15.2 5.5
15.5 5.2
15.8 4.9
16.0 4.6
16.3 4.3
16.6 4.0
17.0 3.6
17.4 3.2
18.0 2.8
-0.1 22.5
-0.2 21.0
-0.3 19.0
-0.5 17.0
-0.7 12.5
-0.8 11.0
-1.0 8.0
-1.3 7.5
-1.7 6.0
-2.3 4.0
-2.7 3.0
-3.2 2.5
-4.0 2.8
-4.3 3.2
-4.6 3.8
-5.0 5.0
-5.4 6.6
-5.6 7.4
-5.7 7.8
-5.9 8.8
-6.0 9.9
-6.3 11.0
-6.6 12.0
-7.0 13.0
-7.5 13.0
-8.0 11.5
-8.5 9.5
-9.0 7.5
-9.6 5.2
-10.0 4.0
-10.4 3.0
-10.8 2.7
-11.2 3.1
-11.6 4.2
-11.9 5.2
-12.2 6.5
-12.5 8.0
-12.8 9.6
-13.1 11.0
-13.5 13.5
-13.8 13.0
-14.3 14.0
-14.8 13.0
-15.2 12.3
-15.6 10.0
-16.0 8.2
-16.4 6.4
-16.7 5.0
-17.1 3.7
-17.5 2.8
-17.9 2.6
-18.0 2.6 
