#x I
0.2 22
0.4 20
0.5 18
0.6 17.5
0.7 17
0.8 17.5
0.9 18
1.0 19
1.2 22
1.4 22
1.5 21
1.6 19
1.7 17.5
1.9 15
2.1 16
2.3 19
2.4 20
2.5 20.5
2.7 18
2.9 15
3.0 13
3.1 12
3.4 13
3.5 15
3.6 16
3.7 17.5
3.9 17.5
4.0 16
4.1 13
4.2 12
4.3 11
4.4 9.5
4.7 10
4.8 11
4.9 13
5.0 14.5
5.3 13
5.4 12
5.5 10
5.6 8
5.7 7.5
5.9 8
6.0 9
6.2 12
6.4 12.5
6.5 12
6.6 11
6.7 9
6.8 8
6.9 7
7.0 6.5
7.2 8
7.4 10
7.6 9
7.7 8
7.8 7
7.9 6.5
8.0 6
8.2 7.5
8.4 8
8.6 8
8.8 7.5
9.0 7.0
9.2 6.5
9.5 7.5
9.8 7.5
10.3 7
10.6 6.5
10.7 6
11.0 7
11.5 7
12.0 5.5
12.3 6
12.5 6.5
12.6 7
12.7 6.5
12.8 6.6
12.9 6.2
13.0 5.8
13.1 5.6
13.4 5.8
13.5 6.1
13.6 6.4
13.7 6.6
13.8 6.7
13.9 6.5
14.0 6
14.1 5.7
14.2 5.4
14.3 5.2
14.5 5.5
14.6 5.7
14.8 5.9
15.0 6
15.2 5.7
15.3 5.4
15.4 5.2
15.5 5
-0.2 22
-0.4 20
-0.5 20
-0.6 19
-0.7 18.5
-0.8 19
-0.9 20
-1.0 21
-1.2 22
-1.4 21.5
-1.5 21
-1.6 21
-1.7 20
-1.9 18
-2.1 19
-2.3 20
-2.4 20.5
-2.5 20
-2.7 19
-2.9 18
-3.0 17.5
-3.1 17.5
-3.4 18
-3.5 18.5
-3.6 18
-3.7 17.5
-3.9 16
-4.0 15
-4.1 14.5
-4.2 14
-4.3 14.4
-4.4 15
-4.7 15.5
-4.8 15.5
-4.9 15
-5.0 14.5
-5.3 12.5
-5.4 12
-5.5 11
-5.6 11
-5.7 11.5
-5.9 12
-6.0 12.5
-6.2 12
-6.4 11
-6.5 10
-6.6 9.4
-6.7 8.6
-6.8 8.4
-6.9 8.5
-7.0 8.7
-7.2 9.5
-7.4 9.8
-7.6 9.4
-7.7 8.7
-7.8 8.1
-7.9 7.4
-8.0 7
-8.2 6.8
-8.4 7.4
-8.6 8
-8.8 8.2
-9.0 7.5
-9.2 6.6
-9.5 6.2
-9.8 7.1
-10.3 7
-10.6 6.2
-10.7 6.2
-11.0 6.9
-11.5 7.2
-12.0 6.2
-12.3 7
-12.5 7.4
-12.6 7.4
-12.7 7.1
-12.8 6.8
-12.9 6.5
-13.0 6.2
-13.1 6.1
-13.4 6.4
-13.5 6.6
-13.6 6.9
-13.7 7
-13.8 6.9
-13.9 6.7
-14.0 6.4
-14.1 6.2
-14.2 5.9
-14.3 5.8
-14.5 5.8
-14.6 5.8
-14.8 6.2
-15.0 6.3
-15.2 6.1
-15.3 6
-15.4 5.8
-15.5 5.6
